=== Project Metadata ===
simulation_id,name,timestamp
21,Untitled Project,2025-05-31 21:49:33

=== Shape Metadata ===
shape_id,name,coords,count,collectarea,percentofstrikes,kdtreepath
0,,"(-685.8000001, -1524.0000000999999, 10124.832507290035)",107,5157438.092,0.0107,
1,,"(-76.20000010000103, -228.60000010000022, 9921.632507290034)",0,0.0,0.0,
2,,"(-876.3000000999996, -1524.0000000999999, 6430.632507290033)",0,0.0,0.0,
3,,"(-623.400000100004, -304.8000000999996, 10124.832507290035)",13,626604.6279999999,0.0013,
4,,"(-1791.8000001000037, -1524.0000000999999, 7178.432507290034)",12,578404.272,0.0012,
5,,"(-495.30000010000003, -1524.0000000999999, 5806.832507290035)",35,1687012.46,0.0035,
6,,"(-1143.0000001000005, -1524.0000001000008, 10048.632507290033)",7,337402.49199999997,0.0007,
7,,"(-25.400000099999488, -25.400000099999943, 9921.632507290036)",0,0.0,0.0,data/7_points.pkl
8,,"(-12.700000100001034, -228.60000009999976, 7508.6325072900345)",0,0.0,0.0,data/8_points.pkl
9,,"(-12.700000100001034, -228.60000009999976, 8727.832507290035)",0,0.0,0.0,data/9_points.pkl
10,,"(-4737.1000001, -1524.0000001000008, 10048.632507290033)",35,1687012.46,0.0035,
11,,"(-448.34300010000015, -20.000000099999397, 7147.632507290035)",0,0.0,0.0,data/11_points.pkl
12,,"(-574.2000001000001, -20.000000099999397, 10043.232507290035)",5,241001.78,0.0005,data/12_points.pkl
13,,"(-20.000000100000307, -244.0000001000003, 9078.032507290034)",0,0.0,0.0,data/13_points.pkl
14,,"(-20.000000100000307, -244.0000001000003, 8112.832507290033)",0,0.0,0.0,data/14_points.pkl
15,,"(-20.000000100000307, -264.00000009999985, 10043.232507290035)",2,96400.71200000001,0.0002,data/15_points.pkl
16,,"(-20.000000100000307, -264.00000009999985, 7147.632507290034)",0,0.0,0.0,data/16_points.pkl
17,,"(-20.000000099999852, -20.000000099999397, 10003.232507290035)",0,0.0,0.0,data/17_points.pkl
18,,"(-16.000000100000307, -4.445000099999561, 7143.6325072900345)",0,0.0,0.0,data/18_points.pkl
19,,"(-16.000000100000307, -4.445000099999561, 10039.232507290035)",0,0.0,0.0,data/19_points.pkl
20,,"(-101.6000000999993, -457.2000001000001, 8092.832507290034)",0,0.0,0.0,
21,,"(-50.800000100000034, -1066.8000001000005, 8092.832507290034)",0,0.0,0.0,
22,,"(-12.70000010000058, -12.70000009999967, 8021.814853927165)",0,0.0,0.0,data/22_points.pkl
23,,"(-25.400000099999488, -38.100000100000216, 8047.214853927166)",0,0.0,0.0,data/23_points.pkl
24,,"(-457.20000009999984, -1524.0000000999999, 8545.657617511508)",41,1976214.5960000004,0.0041,
25,,"(-2628.9000000999963, -1524.0000001000008, 5476.632507290031)",6,289202.136,0.0006,
26,,"(-25.400000100000398, -25.400000100000398, 5248.032507290032)",0,0.0,0.0,data/26_points.pkl
27,,"(-69.85000010000022, -69.85000010000113, 5349.632507290033)",0,0.0,0.0,data/27_points.pkl
28,,"(-25.400000099999943, -914.4000001000004, 5287.632507290033)",0,0.0,0.0,
29,,"(-574.2000001000001, -20.000000099999852, 10043.232507290038)",3,144601.068,0.0003,data/29_points.pkl
30,,"(-20.000000099999852, -20.000000099999852, 10003.232507290037)",0,0.0,0.0,data/30_points.pkl
31,,"(-20.000000099999852, -20.000000099999852, 9038.032507290036)",0,0.0,0.0,data/31_points.pkl
32,,"(-20.000000099999852, -20.000000099999852, 8072.832507290034)",0,0.0,0.0,data/32_points.pkl
33,,"(-448.34300010000015, -20.000000099999852, 7147.6325072900345)",0,0.0,0.0,data/33_points.pkl
34,,"(-304.80000010000003, -38.10000009999976, 8219.832507290032)",0,0.0,0.0,
35,,"(-4292.600000099999, -1524.0000000999999, 7422.7841243562625)",0,0.0,0.0,
36,,"(-228.60000010000005, -762.0000000999994, 2315.8325072900325)",0,0.0,0.0,
37,,"(-228.60000010000005, -762.0000000999994, 2277.732507290032)",0,0.0,0.0,
38,,"(-876.3000001000023, -1524.0000000999999, 4627.232507290032)",0,0.0,0.0,
39,,"(-304.8000000999996, -228.60000009999976, 2188.8325072900325)",0,0.0,0.0,data/39_points.pkl
40,,"(-8294.200000100005, -1828.8000001000005, 10175.632507290034)",935,45067332.86,0.0935,
41,,"(-1219.2000001000001, -914.4000001000009, 9947.032507290036)",57,2747420.2920000004,0.0057,
42,,"(-1320.8000000999996, -1016.0000000999994, 10188.332507290035)",36,1735212.8159999999,0.0036,
43,,"(-1219.2000000999992, -304.8000000999996, 10188.332507290035)",41,1976214.5960000004,0.0041,
44,,"(-304.8000000999998, -38.10000009999976, 8219.832507290032)",0,0.0,0.0,
45,,"(-304.8000000999996, -38.10000009999976, 8219.832507290032)",0,0.0,0.0,
46,,"(-304.80000010000003, -38.10000009999976, 8219.832507290032)",0,0.0,0.0,
47,,"(-304.80000010000003, -38.10000009999976, 8219.832507290032)",1,48200.35600000001,0.0001,
48,,"(-304.8000000999996, -38.10000009999976, 8219.832507290032)",0,0.0,0.0,
49,,"(-508.0000001000002, -812.8000000999996, 2138.032507290032)",0,0.0,0.0,
50,,"(-304.80000010000094, -1371.6000001000007, 741.0325072900324)",0,0.0,0.0,
51,,"(-304.80000010000185, -1371.6000001000007, 741.0325072900324)",0,0.0,0.0,
52,,"(-304.80000010000003, -1371.6000001000007, 741.0325072900324)",0,0.0,0.0,
53,,"(-304.80000010000003, -1371.6000001000007, 741.0325072900324)",0,0.0,0.0,
54,,"(-2743.2000001000006, -1371.6000001000007, 664.8325072900326)",0,0.0,0.0,
55,,"(-3544.4000000999986, -1371.6000001000007, 664.8325072900326)",0,0.0,0.0,
56,,"(-2743.200000100001, -1371.6000001000007, 664.8325072900326)",0,0.0,0.0,
57,,"(-304.80000010000185, -1371.6000001000007, 16703.432507290032)",36,1735212.8159999999,0.0036,
58,,"(-304.80000010000185, -1371.6000001000007, 11369.432507290032)",0,0.0,0.0,
59,,"(-304.80000010000185, -1371.6000001000007, 6035.432507290031)",0,0.0,0.0,
60,,"(-304.80000010000094, -1371.6000001000007, 16703.432507290032)",49,2361817.4439999997,0.0049,
61,,"(-304.80000010000003, -1371.6000001000007, 16703.432507290032)",31,1494211.0359999998,0.0031,
62,,"(-304.80000010000003, -1371.6000001000007, 16703.432507290032)",40,1928014.24,0.004,
63,,"(-228.60000010000113, -1371.6000001000007, 5425.832507290031)",0,0.0,0.0,
64,,"(-228.60000010000113, -1371.6000001000007, 10759.832507290032)",0,0.0,0.0,
65,,"(-228.60000010000113, -1371.6000001000007, 16093.832507290033)",0,0.0,0.0,
66,,"(-2743.2000001000006, -1371.6000001000007, 16627.232507290035)",321,15472314.275999999,0.0321,
67,,"(-3544.4000000999986, -1371.6000001000007, 16627.232507290035)",372,17930532.431999996,0.0372,
68,,"(-2743.2000001000015, -1371.6000001000007, 16627.232507290035)",283,13640700.747999998,0.0283,
69,,"(-304.80000010000094, -1371.6000001000007, 10048.632507290033)",0,0.0,0.0,
70,,"(-228.60000010000113, -1371.6000001000007, 9134.232507290033)",0,0.0,0.0,
71,,"(-414.727062761006, -152.4000001000004, 10158.559569951036)",0,0.0,0.0,
72,,"(-414.72706276100325, -152.4000001000004, 16813.359569951037)",5,241001.78,0.0005,
73,,"(-414.72706276100143, -152.4000001000004, 16813.359569951037)",7,337402.49199999997,0.0007,
74,,"(-414.7270627610019, -152.4000001000004, 16813.359569951033)",4,192801.42400000003,0.0004,
75,,"(-414.72706276100325, -152.4000001000004, 16813.359569951037)",7,337402.49199999997,0.0007,
76,,"(-414.7270627610051, -152.40000009999994, 11479.359569951035)",0,0.0,0.0,
77,,"(-414.7270627610051, -152.4000001000004, 6145.359569951033)",0,0.0,0.0,
78,,"(-414.72706276100416, -152.40000009999994, 850.959569951035)",0,0.0,0.0,
79,,"(-414.72706276100234, -152.40000009999994, 850.959569951035)",0,0.0,0.0,
80,,"(-414.727062761003, -152.40000009999994, 850.9595699510352)",0,0.0,0.0,
81,,"(-425.4615666092195, -152.40000010000085, 861.6940737992485)",0,0.0,0.0,
82,,"(-114.30000010000367, -1066.800000100001, 16093.832507290033)",0,0.0,0.0,
83,,"(-114.30000010000276, -1066.800000100001, 13068.057507290032)",0,0.0,0.0,
84,,"(-10250.000000100003, -457.2000001000006, 16703.432507290032)",427,20581552.012000002,0.0427,
85,,"(-508.0000001000002, -812.8000001000003, 2138.032507290032)",0,0.0,0.0,
86,,"(-508.0000001000002, -812.8000001000001, 2138.032507290032)",0,0.0,0.0,
87,,"(-508.0000001000002, -812.800000100001, 2138.032507290032)",0,0.0,0.0,
88,,"(-1219.2000000999992, -304.80000010000015, 10188.332507290035)",47,2265416.7320000003,0.0047,
89,,"(-1219.2000000999992, -304.80000010000015, 10188.332507290035)",33,1590611.748,0.0033,
90,,"(-1219.2000000999992, -304.8000000999991, 10188.332507290035)",39,1879813.8839999998,0.0039,
91,,"(-1320.8000000999996, -1016.0000001, 10188.332507290035)",27,1301409.6120000002,0.0027,
92,,"(-1320.8000000999996, -1016.0000001, 10188.332507290035)",33,1590611.748,0.0033,
93,,"(-1320.8000000999996, -1016.0000000999999, 10188.332507290035)",41,1976214.5960000004,0.0041,
94,,"(-1219.2000001000001, -914.400000100001, 9947.032507290036)",47,2265416.7320000003,0.0047,
95,,"(-1219.2000001000001, -914.4000000999996, 9947.032507290036)",61,2940221.7160000005,0.0061,
96,,"(-1219.2000001000001, -914.4000000999999, 9947.032507290036)",45,2169016.0199999996,0.0045,
97,,"(-304.8000000999996, -228.6000001000004, 2188.8325072900325)",0,0.0,0.0,data/97_points.pkl
98,,"(-304.8000000999996, -228.60000010000022, 2188.8325072900325)",0,0.0,0.0,data/98_points.pkl
99,,"(-304.8000000999996, -228.60000010000022, 2188.8325072900325)",0,0.0,0.0,data/99_points.pkl
100,,"(-228.60000010000005, -762.0000001000001, 2277.732507290032)",0,0.0,0.0,
101,,"(-228.60000010000005, -762.0000001000009, 2277.732507290032)",0,0.0,0.0,
102,,"(-228.60000010000005, -762.0000000999999, 2277.732507290032)",0,0.0,0.0,
103,,"(-228.60000010000005, -762.0000001000001, 2315.8325072900325)",0,0.0,0.0,
104,,"(-228.60000010000005, -762.0000001000009, 2315.8325072900325)",0,0.0,0.0,
105,,"(-228.60000010000005, -762.0000000999999, 2315.8325072900325)",0,0.0,0.0,
106,,"(-20.000000099999852, -20.000000099999625, 8072.832507290034)",0,0.0,0.0,data/106_points.pkl
107,,"(-20.000000099999852, -20.000000100000534, 8072.832507290034)",0,0.0,0.0,data/107_points.pkl
108,,"(-20.000000099999852, -20.000000100001216, 8072.832507290034)",0,0.0,0.0,data/108_points.pkl
109,,"(-20.000000099999852, -20.000000099999625, 9038.032507290036)",0,0.0,0.0,data/109_points.pkl
110,,"(-20.000000099999852, -20.000000100000534, 9038.032507290036)",0,0.0,0.0,data/110_points.pkl
111,,"(-20.000000099999852, -20.000000100001216, 9038.032507290036)",0,0.0,0.0,data/111_points.pkl
112,,"(-20.000000099999852, -20.000000099999625, 10003.232507290037)",0,0.0,0.0,data/112_points.pkl
113,,"(-20.000000099999852, -20.000000100000534, 10003.232507290037)",0,0.0,0.0,data/113_points.pkl
114,,"(-20.000000099999852, -20.000000100001216, 10003.232507290037)",0,0.0,0.0,data/114_points.pkl
115,,"(-25.400000099999943, -914.4000000999997, 5287.632507290033)",0,0.0,0.0,
116,,"(-25.400000099999943, -914.4000000999996, 5287.632507290033)",0,0.0,0.0,
117,,"(-25.400000099999943, -914.4000001000013, 5287.632507290033)",0,0.0,0.0,
118,,"(-457.20000009999984, -1524.0000000999999, 8545.657617511508)",40,1928014.24,0.004,
119,,"(-457.20000009999984, -1524.0000000999999, 8545.657617511508)",24,1156808.544,0.0024,
120,,"(-457.20000009999984, -1524.0000000999999, 8545.657617511508)",31,1494211.0359999998,0.0031,
121,,"(-25.400000099999488, -38.10000010000044, 8047.214853927166)",0,0.0,0.0,data/121_points.pkl
122,,"(-25.400000099999488, -38.10000010000033, 8047.214853927166)",0,0.0,0.0,data/122_points.pkl
123,,"(-25.400000099999488, -38.100000100000216, 8047.214853927166)",0,0.0,0.0,data/123_points.pkl
124,,"(-12.70000010000058, -12.700000099999897, 8021.814853927165)",0,0.0,0.0,data/124_points.pkl
125,,"(-12.70000010000058, -12.70000009999967, 8021.814853927165)",0,0.0,0.0,data/125_points.pkl
126,,"(-12.70000010000058, -12.70000009999967, 8021.814853927165)",0,0.0,0.0,data/126_points.pkl
127,,"(-50.800000100000034, -1066.8000000999991, 8092.832507290034)",0,0.0,0.0,
128,,"(-50.800000100000034, -1066.8000000999991, 8092.832507290034)",0,0.0,0.0,
129,,"(-50.800000100000034, -1066.800000100001, 8092.832507290034)",0,0.0,0.0,
130,,"(-101.6000000999993, -457.2000001000007, 8092.832507290034)",0,0.0,0.0,
131,,"(-101.6000000999993, -457.2000001000006, 8092.832507290034)",0,0.0,0.0,
132,,"(-101.6000000999993, -457.20000009999876, 8092.832507290034)",0,0.0,0.0,
133,,"(-16.000000100000307, -4.445000099999788, 10039.232507290035)",0,0.0,0.0,data/133_points.pkl
134,,"(-16.000000100000307, -4.44500010000047, 10039.232507290035)",0,0.0,0.0,data/134_points.pkl
135,,"(-16.000000100000307, -4.445000099999561, 10039.232507290035)",0,0.0,0.0,data/135_points.pkl
136,,"(-16.000000100000307, -4.445000099999788, 7143.6325072900345)",0,0.0,0.0,data/136_points.pkl
137,,"(-16.000000100000307, -4.44500010000047, 7143.6325072900345)",0,0.0,0.0,data/137_points.pkl
138,,"(-16.000000100000307, -4.445000099999561, 7143.6325072900345)",0,0.0,0.0,data/138_points.pkl
139,,"(-20.000000100000307, -264.00000009999906, 7147.632507290034)",0,0.0,0.0,data/139_points.pkl
140,,"(-20.000000100000307, -264.00000009999997, 7147.632507290034)",0,0.0,0.0,data/140_points.pkl
141,,"(-20.000000100000307, -264.00000009999894, 7147.632507290034)",0,0.0,0.0,data/141_points.pkl
142,,"(-20.000000100000307, -264.00000009999906, 10043.232507290035)",2,96400.71200000001,0.0002,data/142_points.pkl
143,,"(-20.000000100000307, -264.00000009999997, 10043.232507290035)",2,96400.71200000001,0.0002,data/143_points.pkl
144,,"(-20.000000100000307, -264.00000009999894, 10043.232507290035)",1,48200.35600000001,0.0001,data/144_points.pkl
145,,"(-574.2000001000001, -20.000000099999852, 10043.232507290038)",1,48200.35600000001,0.0001,data/145_points.pkl
146,,"(-574.2000001000001, -20.00000010000076, 10043.232507290038)",5,241001.78,0.0005,data/146_points.pkl
147,,"(-574.2000001000001, -20.00000010000167, 10043.232507290038)",3,144601.068,0.0003,data/147_points.pkl
148,,"(-574.2000001000001, -20.00000010000008, 10043.232507290035)",3,144601.068,0.0003,data/148_points.pkl
149,,"(-574.2000001000001, -20.000000099999852, 10043.232507290035)",4,192801.42400000003,0.0004,data/149_points.pkl
150,,"(-574.2000001000001, -20.000000099999852, 10043.232507290035)",2,96400.71200000001,0.0002,data/150_points.pkl
151,,"(-20.000000100000307, -244.00000009999906, 8112.832507290033)",0,0.0,0.0,data/151_points.pkl
152,,"(-20.000000100000307, -244.00000009999997, 8112.832507290033)",0,0.0,0.0,data/152_points.pkl
153,,"(-20.000000100000307, -244.00000009999894, 8112.832507290033)",0,0.0,0.0,data/153_points.pkl
154,,"(-20.000000100000307, -244.00000009999906, 9078.032507290034)",0,0.0,0.0,data/154_points.pkl
155,,"(-20.000000100000307, -244.00000009999997, 9078.032507290034)",0,0.0,0.0,data/155_points.pkl
156,,"(-20.000000100000307, -244.00000009999894, 9078.032507290034)",0,0.0,0.0,data/156_points.pkl
157,,"(-448.34300010000015, -20.000000099999852, 7147.6325072900345)",0,0.0,0.0,data/157_points.pkl
158,,"(-448.34300010000015, -20.00000010000076, 7147.6325072900345)",0,0.0,0.0,data/158_points.pkl
159,,"(-448.34300010000015, -20.00000010000167, 7147.6325072900345)",0,0.0,0.0,data/159_points.pkl
160,,"(-448.34300010000015, -20.00000010000008, 7147.632507290035)",0,0.0,0.0,data/160_points.pkl
161,,"(-448.34300010000015, -20.000000099999852, 7147.632507290035)",0,0.0,0.0,data/161_points.pkl
162,,"(-448.34300010000015, -20.000000099999852, 7147.632507290035)",0,0.0,0.0,data/162_points.pkl
163,,"(-20.000000099999852, -20.00000010000008, 10003.232507290035)",0,0.0,0.0,data/163_points.pkl
164,,"(-20.000000099999852, -20.000000099999852, 10003.232507290035)",0,0.0,0.0,data/164_points.pkl
165,,"(-20.000000099999852, -20.000000099999852, 10003.232507290035)",0,0.0,0.0,data/165_points.pkl
166,,"(-8294.200000100005, -1828.800000100001, 10175.632507290034)",941,45356534.996,0.0941,
167,,"(-8294.200000100005, -1828.800000100001, 10175.632507290034)",932,44922731.792,0.0932,
168,,"(-8294.200000100005, -1828.8000001, 10175.632507290034)",902,43476721.112,0.0902,
169,,"(-12.700000100001034, -228.60000010000033, 8727.832507290035)",0,0.0,0.0,data/169_points.pkl
170,,"(-12.700000100001034, -228.60000009999953, 8727.832507290035)",0,0.0,0.0,data/170_points.pkl
171,,"(-12.700000100001034, -228.60000010000022, 8727.832507290035)",0,0.0,0.0,data/171_points.pkl
172,,"(-12.700000100001034, -228.60000010000033, 7508.6325072900345)",0,0.0,0.0,data/172_points.pkl
173,,"(-12.700000100001034, -228.60000009999953, 7508.6325072900345)",0,0.0,0.0,data/173_points.pkl
174,,"(-12.700000100001034, -228.60000010000022, 7508.6325072900345)",0,0.0,0.0,data/174_points.pkl
175,,"(-25.400000099999488, -25.400000099998806, 9921.632507290036)",0,0.0,0.0,data/175_points.pkl
176,,"(-25.400000099999488, -25.400000099999716, 9921.632507290036)",0,0.0,0.0,data/176_points.pkl
177,,"(-25.400000099999488, -25.400000099999488, 9921.632507290036)",0,0.0,0.0,data/177_points.pkl
178,,"(-4292.600000099999, -1524.0000000999999, 7422.7841243562625)",0,0.0,0.0,
179,,"(-4292.600000099999, -1524.0000000999999, 7422.7841243562625)",0,0.0,0.0,
